id,species_id,height,weight,base_experience,order,is_default,name,sprites
1,1,7,69,64,1,1,bulbasaur,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/bulbasaur.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/bulbasaur.gif""}"
2,2,10,130,142,2,1,ivysaur,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ivysaur.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ivysaur.gif""}"
3,3,20,1000,236,3,1,venusaur,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/venusaur.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/venusaur.gif""}"
4,4,6,85,62,5,1,charmander,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/charmander.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/charmander.gif""}"
5,5,11,190,142,6,1,charmeleon,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/charmeleon.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/charmeleon.gif""}"
6,6,17,905,240,7,1,charizard,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/charizard.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/charizard.gif""}"
7,7,5,90,63,10,1,squirtle,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/squirtle.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/squirtle.gif""}"
8,8,10,225,142,11,1,wartortle,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/wartortle.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/wartortle.gif""}"
9,9,16,855,239,12,1,blastoise,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/blastoise.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/blastoise.gif""}"
10,10,3,29,39,14,1,caterpie,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/caterpie.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/caterpie.gif""}"
11,11,7,99,72,15,1,metapod,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/metapod.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/metapod.gif""}"
12,12,11,320,178,16,1,butterfree,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/butterfree.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/butterfree.gif""}"
13,13,3,32,39,17,1,weedle,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/weedle.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/weedle.gif""}"
14,14,6,100,72,18,1,kakuna,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/kakuna.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/kakuna.gif""}"
15,15,10,295,178,19,1,beedrill,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/beedrill.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/beedrill.gif""}"
16,16,3,18,50,21,1,pidgey,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/pidgey.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/pidgey.gif""}"
17,17,11,300,122,22,1,pidgeotto,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/pidgeotto.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/pidgeotto.gif""}"
18,18,15,395,216,23,1,pidgeot,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/pidgeot.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/pidgeot.gif""}"
19,19,3,35,51,25,1,rattata,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/rattata.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/rattata.gif""}"
20,20,7,185,145,27,1,raticate,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/raticate.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/raticate.gif""}"
21,21,3,20,52,30,1,spearow,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/spearow.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/spearow.gif""}"
22,22,12,380,155,31,1,fearow,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/fearow.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/fearow.gif""}"
23,23,20,69,58,32,1,ekans,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ekans.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ekans.gif""}"
24,24,35,650,157,33,1,arbok,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/arbok.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/arbok.gif""}"
25,25,4,60,112,35,1,pikachu,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/pikachu.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/pikachu.gif""}"
26,26,8,300,218,43,1,raichu,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/raichu.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/raichu.gif""}"
27,27,6,120,60,45,1,sandshrew,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/sandshrew.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/sandshrew.gif""}"
28,28,10,295,158,47,1,sandslash,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/sandslash.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/sandslash.gif""}"
,,,,,,,,
30,30,8,200,128,50,1,nidorina,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/nidorina.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/nidorina.gif""}"
31,31,13,600,227,51,1,nidoqueen,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/nidoqueen.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/nidoqueen.gif""}"
,,,,,,,,
33,33,9,195,128,53,1,nidorino,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/nidorino.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/nidorino.gif""}"
34,34,14,620,227,54,1,nidoking,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/nidoking.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/nidoking.gif""}"
35,35,6,75,113,56,1,clefairy,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/clefairy.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/clefairy.gif""}"
36,36,13,400,217,57,1,clefable,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/clefable.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/clefable.gif""}"
37,37,6,99,60,58,1,vulpix,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/vulpix.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/vulpix.gif""}"
38,38,11,199,177,60,1,ninetales,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ninetales.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ninetales.gif""}"
